Sample Name	Acquisition Date & Time	Component Name	Area	IS Area	IS Name	Area Ratio	Retention Time	IS Retention Time
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	DHEA-Q	77.2485680185639	160.142845386122	DHEA-ISTD	0.444906344999527	4.24778582331694	3.98663333333333
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	DHEA-ISTD	160.142845386122	N/A	N/A	N/A	3.98663333333333	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	LEA-Q	668.225996867145	150.090703632968	LEA-ISTD	4.45214780591091	4.15887652851024	3.62823526041389
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	LEA-ISTD	150.090703632968	N/A	N/A	N/A	3.62823526041389	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	NADA-Q	807.173092796708	2167.87031139189	NADA-ISTD	0.969566891795437	4.22377535081068	4.732846288017
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	NADA-ISTD	2167.87031139189	N/A	N/A	N/A	4.732846288017	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	OEA-Q	1514.44887361844	86.8997316142657	OEA-ISTD	17.4275437390399	5.1044096540765	4.09073375220225
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	OEA-ISTD	86.8997316142657	N/A	N/A	N/A	4.09073375220225	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	PEA-Q	14620.9049999999	117.791132355929	PEA-ISTD	124.120591317704	4.0178369383691	4.71966915665027
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	PEA-ISTD	117.791132355929	N/A	N/A	N/A	4.71966915665027	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	SEA-Q	9206.21747272382	164.6875	SEA-ISTD	55.9011307641675	6.95366517095526	5.91461666666667
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	SEA-ISTD	164.6875	N/A	N/A	N/A	5.91461666666667	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	2AGE-Q	2005.93115491206	1554.02515931867	2AG-ISTD	7.29038191687501	5.0162304225865	4.80078861625987
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	DEA-Q	330.267006060994	86.8997316142657	OEA-ISTD	3.80055265909218	5.47425251232101	4.09073375220225
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	DGLEA-Q	N/A	150.090703632968	LEA-ISTD	N/A	N/A	3.62823526041389
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	O-AEA	18.9690302541477	103.672450939489	AEA-ISTD	0.182970790043533	3.218375	3.64506915665027
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	2-LG-Q	784.130574634205	1554.02515931867	2AG-ISTD	0.004418066143028	4.69627410345223	4.80078861625987
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	1-LG-Q	317.469888730324	1554.02515931867	2AG-ISTD	0.20422306247489	4.94588282279852	4.80078861625987
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	2-OG-Q	2445.80649999998	1554.02515931867	2AG-ISTD	7.07334635939373	5.92960781170483	4.80078861625987
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	1-OG-Q	2377.43699999998	1554.02515931867	2AG-ISTD	7.02936540508742	5.97622479554792	4.80078861625987
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	EPEA-Q	67.657692333653	150.090703632968	LEA-ISTD	0.410802873470635	3.49441188921197	3.62823526041389
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	POEA-Q	87.6649999999987	86.8997316142657	OEA-ISTD	7.00880633773565	3.93043333333333	4.09073375220225
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	ETAEA-Q	808.20830816518	117.791132355929	PEA-ISTD	6.86136801642264	5.10605	4.71966915665027
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	OAG-Q	850.874000000003	N/A	(No IS)	N/A	6.29473013392857	N/A
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	PDEA-Q	390.257500000016	150.090703632968	LEA-ISTD	2.60014438305487	4.1425	3.62823526041389
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	COR-Q	226.722230559452	117.791132355929	PEA-ISTD	7.92478182376552	0.888915963030265	4.71966915665027
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	Alpha-LEA-Q	258.073999999997	150.090703632968	LEA-ISTD	7.72278491432963	3.08966578878136	3.62823526041389
PR01_EXAMPLE_AAC_0001BLANK_A1	08/13/2015 18:10:07	AA-Q	907.052000000001	150.090703632968	LEA-ISTD	6.04669028815621	5.68476835891747	3.62823526041389
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	2AG-Q	448487.673842656	38964.9409528368	2AG-ISTD	17.0098769015331	4.87127798214942	4.64073311359033
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	2AG-ISTD	38964.9409528368	N/A	N/A	N/A	4.64073311359033	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	AEA-Q	57808.6639999997	16048.0164215234	AEA-ISTD	3.60211888012712	4.01857157768652	3.97741167371197
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	AEA-ISTD	16048.0164215234	N/A	N/A	N/A	3.97741167371197	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	DHEA-Q	32435.0341232234	26963.0173319276	DHEA-ISTD	7.20267764019807	3.95731519819893	3.93726935410823
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	DHEA-ISTD	26963.0173319276	N/A	N/A	N/A	3.93726935410823	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	LEA-Q	637753.9248889	547786.416164435	LEA-ISTD	7.16424815597738	3.95828765504288	3.93760989351796
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	LEA-ISTD	547786.416164435	N/A	N/A	N/A	3.93760989351796	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	NADA-Q	1722.12549980859	10403.4117241198	NADA-ISTD	0.165534686646683	4.0197875465102	4.81516591936067
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	NADA-ISTD	10403.4117241198	N/A	N/A	N/A	4.81516591936067	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	OEA-Q	625365.677077887	487275.689875285	OEA-ISTD	7.28339190743939	4.97251321904921	4.94499963682065
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	OEA-ISTD	487275.689875285	N/A	N/A	N/A	4.94499963682065	N/A
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	PEA-Q	1509307.41650001	825246.810173583	PEA-ISTD	7.82890911893684	4.01040171770338	4.48864524687689
PR01_EXAMPLE_AAC_0001QC_A3	08/13/2015 18:22:48	PEA-ISTD	825246.810173583	N/A	N/A	N/A	4.48864524687689	N/A
